Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22,Columna_23,Columna_24,Columna_25,Columna_26,Columna_27,Columna_28
2019-2020,Apertura,1,Rayadas,18,16,0,2,52,16,36,48,9,9,0,0,31,5,26,27,9,7,0,2,21,11,10,21
2019-2020,Apertura,2,Tigres,18,13,4,1,41,14,27,43,9,8,1,0,22,4,18,25,9,5,3,1,19,10,9,18
2019-2020,Apertura,3,Pachuca,18,11,3,4,42,24,18,36,9,6,1,2,23,14,9,19,9,5,2,2,19,10,9,17
2019-2020,Apertura,4,América,18,9,5,4,29,17,12,32,9,5,3,1,14,5,9,18,9,4,2,3,15,12,3,14
2019-2020,Apertura,5,Guadalajara,18,9,4,5,30,23,7,31,9,6,1,2,15,9,6,19,9,3,3,3,15,14,1,12
2019-2020,Apertura,6,Toluca,18,9,4,5,24,20,4,31,9,5,2,2,15,9,6,17,9,4,2,3,9,11,-2,14
2019-2020,Apertura,7,Tijuana,18,8,5,5,27,21,6,29,9,6,2,1,19,9,10,20,9,2,3,4,8,12,-4,9
2019-2020,Apertura,8,Atlas,18,7,7,4,35,20,15,28,9,3,3,3,14,13,1,12,9,4,4,1,21,7,14,16
2019-2020,Apertura,9,M. Morelia,18,8,4,6,30,28,2,28,9,5,3,1,17,10,7,18,9,3,1,5,13,18,-5,10
2019-2020,Apertura,10,Cruz Azul,18,6,6,6,28,25,3,24,9,4,3,2,18,12,6,15,9,2,3,4,10,13,-3,9
2019-2020,Apertura,11,León,18,6,5,7,23,21,2,23,9,4,3,2,15,11,4,15,9,2,2,5,8,10,-2,8
2019-2020,Apertura,12,Puebla,18,5,6,7,16,25,-9,21,9,2,3,4,7,12,-5,9,9,3,3,3,9,13,-4,12
2019-2020,Apertura,13,Querétaro,18,5,5,8,15,32,-17,20,9,2,2,5,5,18,-13,8,9,3,3,3,10,14,-4,12
2019-2020,Apertura,14,Pumas,18,4,7,7,18,16,2,19,9,4,2,3,13,7,6,14,9,0,5,4,5,9,-4,5
2019-2020,Apertura,15,Veracruz,18,4,5,9,17,29,-12,17,9,4,3,2,10,7,3,15,9,0,2,7,7,22,-15,2
2019-2020,Apertura,16,Santos Laguna,18,4,4,10,17,28,-11,16,9,1,4,4,8,12,-4,7,9,3,0,6,9,16,-7,9
2019-2020,Apertura,17,Atlético de San Luis,18,2,5,11,11,38,-27,11,9,2,2,5,7,20,-13,8,9,0,3,6,4,18,-14,3
2019-2020,Apertura,18,FC Juárez,18,1,4,13,8,37,-29,7,9,1,3,5,2,16,-14,6,9,0,1,8,6,21,-15,1
2019-2020,Apertura,19,Necaxa,18,1,3,14,6,35,-29,6,9,1,2,6,6,15,-9,5,9,0,1,8,0,20,-20,1
