Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22,Columna_23,Columna_24,Columna_25,Columna_26,Columna_27,Columna_28
2021-2022,Clausura,1,Rayadas,17,14,1,2,51,13,38,43,9,8,1,0,31,6,25,25,8,6,0,2,20,7,13,18
2021-2022,Clausura,2,Guadalajara,17,13,4,0,27,6,21,43,8,7,1,0,11,1,10,22,9,6,3,0,16,5,11,21
2021-2022,Clausura,3,Tigres,17,11,6,0,43,11,32,39,8,5,3,0,23,4,19,18,9,6,3,0,20,7,13,21
2021-2022,Clausura,4,América,17,11,4,2,41,14,27,37,8,5,1,2,18,7,11,16,9,6,3,0,23,7,16,21
2021-2022,Clausura,5,Pachuca,17,9,3,5,28,22,6,30,8,4,2,2,17,9,8,14,9,5,1,3,11,13,-2,16
2021-2022,Clausura,6,Atlas,17,7,6,4,27,25,2,27,9,6,2,1,17,8,9,20,8,1,4,3,10,17,-7,7
2021-2022,Clausura,7,Pumas,17,6,4,7,18,17,1,22,8,4,2,2,9,4,5,14,9,2,2,5,9,13,-4,8
2021-2022,Clausura,8,Tijuana,17,4,9,4,24,29,-5,21,9,3,6,0,14,10,4,15,8,1,3,4,10,19,-9,6
2021-2022,Clausura,9,Cruz Azul,17,6,3,8,22,30,-8,21,9,3,1,5,12,16,-4,10,8,3,2,3,10,14,-4,11
2021-2022,Clausura,10,Toluca,17,5,5,7,29,32,-3,20,9,3,2,4,17,19,-2,11,8,2,3,3,12,13,-1,9
2021-2022,Clausura,11,Atlético de San Luis,17,5,5,7,23,29,-6,20,9,3,3,3,16,19,-3,12,8,2,2,4,7,10,-3,8
2021-2022,Clausura,12,Querétaro,17,5,3,9,16,29,-13,18,8,3,2,3,9,10,-1,11,9,2,1,6,7,19,-12,7
2021-2022,Clausura,13,Santos Laguna,17,5,2,10,17,29,-12,17,9,3,2,4,7,10,-3,11,8,2,0,6,10,19,-9,6
2021-2022,Clausura,14,Necaxa,17,3,6,8,17,31,-14,15,8,1,3,4,7,13,-6,6,9,2,3,4,10,18,-8,9
2021-2022,Clausura,15,Mazatlán FC,17,3,4,10,11,30,-19,13,9,3,2,4,8,11,-3,11,8,0,2,6,3,19,-16,2
2021-2022,Clausura,16,León,17,3,4,10,18,40,-22,13,9,2,2,5,14,23,-9,8,8,1,2,5,4,17,-13,5
2021-2022,Clausura,17,Puebla,17,3,3,11,11,25,-14,12,8,3,1,4,9,12,-3,10,9,0,2,7,2,13,-11,2
2021-2022,Clausura,18,FC Juárez,17,3,2,12,18,29,-11,11,8,2,1,5,8,12,-4,7,9,1,1,7,10,17,-7,4
