Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22,Columna_23,Columna_24,Columna_25,Columna_26,Columna_27,Columna_28
2022-2023,Apertura,1,Guadalajara,17,14,1,2,36,10,26,43,9,8,1,0,25,4,21,25,8,6,0,2,11,6,5,18
2022-2023,Apertura,2,Rayadas,17,13,3,1,46,16,30,42,8,7,1,0,24,5,19,22,9,6,2,1,22,11,11,20
2022-2023,Apertura,3,Tigres,17,12,2,3,48,13,35,38,8,7,1,0,26,6,20,22,9,5,1,3,22,7,15,16
2022-2023,Apertura,4,América,17,11,3,3,37,16,21,36,9,7,0,2,21,7,14,21,8,4,3,1,16,9,7,15
2022-2023,Apertura,5,Tijuana,17,8,5,4,34,25,9,29,8,3,4,1,16,12,4,13,9,5,1,3,18,13,5,16
2022-2023,Apertura,6,Toluca,17,8,2,7,27,29,-2,26,8,5,1,2,14,10,4,16,9,3,1,5,13,19,-6,10
2022-2023,Apertura,7,Pachuca,17,8,1,8,35,25,10,25,8,6,0,2,20,5,15,18,9,2,1,6,15,20,-5,7
2022-2023,Apertura,8,Cruz Azul,17,7,4,6,16,16,0,25,8,4,3,1,8,2,6,15,9,3,1,5,8,14,-6,10
2022-2023,Apertura,9,Pumas,17,7,3,7,30,36,-6,24,8,4,2,2,18,9,9,14,9,3,1,5,12,27,-15,10
2022-2023,Apertura,10,Atlas,17,6,5,6,25,25,0,23,9,4,2,3,17,13,4,14,8,2,3,3,8,12,-4,9
2022-2023,Apertura,11,FC Juárez,17,7,1,9,24,28,-4,22,9,4,0,5,14,15,-1,12,8,3,1,4,10,13,-3,10
2022-2023,Apertura,12,León,17,6,3,8,22,26,-4,21,9,2,2,5,9,11,-2,8,8,4,1,3,13,15,-2,13
2022-2023,Apertura,13,Atlético de San Luis,17,7,0,10,23,36,-13,21,9,3,0,6,12,20,-8,9,8,4,0,4,11,16,-5,12
2022-2023,Apertura,14,Santos Laguna,17,6,1,10,24,36,-12,19,8,3,0,5,14,21,-7,9,9,3,1,5,10,15,-5,10
2022-2023,Apertura,15,Querétaro,17,3,3,11,16,31,-15,12,9,2,2,5,9,13,-4,8,8,1,1,6,7,18,-11,4
2022-2023,Apertura,16,Puebla,17,3,2,12,20,38,-18,11,8,3,0,5,14,18,-4,9,9,0,2,7,6,20,-14,2
2022-2023,Apertura,17,Mazatlán FC,17,3,2,12,15,49,-34,11,9,3,0,6,9,24,-15,9,8,0,2,6,6,25,-19,2
2022-2023,Apertura,18,Necaxa,17,1,5,11,12,35,-23,8,9,0,4,5,7,18,-11,4,8,1,1,6,5,17,-12,4
