Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2022-2023,Apertura,1º,Mia Renee Fishel,Tigres,17,1388
2022-2023,Apertura,2º,Christina Marie Burkenroad,Rayadas,16,1464
2022-2023,Apertura,3º,Kiana Angélica Palacios,América,13,1113
2022-2023,Apertura,4º,Verónica Charlyn Corral,Pachuca,12,1485
2022-2023,Apertura,5º,Aylin Ariana Aviléz,Rayadas,11,1070
2022-2023,Apertura,6º,Angelina Nicole Hix,Tijuana,11,1244
2022-2023,Apertura,7º,Renae Nicole Cuéllar,Tijuana,11,1366
2022-2023,Apertura,8º,Beatriz Parra,Atlético de San Luis,10,1163
2022-2023,Apertura,9º,Sandra Stephany Mayor,Tigres,9,1004
2022-2023,Apertura,10º,Alison Hecnary González,América,9,951
2022-2023,Apertura,11º,Mariel Román,Toluca,8,1434
2022-2023,Apertura,12º,Alicia Cervantes,Guadalajara,7,879
2022-2023,Apertura,13º,Lizbeth Jacqueline Ovalle,Tigres,7,1180
2022-2023,Apertura,14º,Brenda Woch Da Graca,Toluca,7,1121
2022-2023,Apertura,15º,Kristal Rubi Soto,Guadalajara,6,1222
2022-2023,Apertura,16º,Christian Carolina Jaramillo,Guadalajara,6,1301
2022-2023,Apertura,17º,Uchenna Grace Kanu,Tigres,6,817
2022-2023,Apertura,18º,Stephanie Mariana Ribeiro,Pumas,6,767
2022-2023,Apertura,19º,Edna Fabiola Santamaria,Querétaro,6,1425
2022-2023,Apertura,20º,Mariana Ramos,Necaxa,6,1073
2022-2023,Apertura,21º,Diana Laura Evangelista,Rayadas,5,1324
2022-2023,Apertura,22º,Lizbeth Ángeles,Pachuca,5,1378
2022-2023,Apertura,23º,Aerial Lynndonna Chavarin,Pumas,5,570
2022-2023,Apertura,24º,Venicia Gabriela Juárez,Pumas,5,772
2022-2023,Apertura,25º,Blanca María Solís,FC Juárez,5,923
2022-2023,Apertura,26º,Mariana Valeria Larroquette,León,5,997
2022-2023,Apertura,27º,Daniela Calderón,León,5,1486
2022-2023,Apertura,28º,Gabriela Valenzuela,Guadalajara,4,1096
2022-2023,Apertura,29º,Adriana Iturbide,Guadalajara,4,1181
2022-2023,Apertura,30º,Katty Martínez,América,4,701
2022-2023,Apertura,31º,Mónica Ocampo,Pachuca,4,1203
2022-2023,Apertura,32º,Karla Paola Nieto,Pachuca,4,1346
2022-2023,Apertura,33º,Marylin Viridiana Díaz,Pumas,4,1492
2022-2023,Apertura,34º,Carolina Paola Venegas,Atlas,4,451
2022-2023,Apertura,35º,Claudia Fabiola Ibarra,Atlas,4,740
2022-2023,Apertura,36º,Jermaine Seoposenwe,FC Juárez,4,771
2022-2023,Apertura,37º,Paola González,FC Juárez,4,1365
2022-2023,Apertura,38º,Alexia Nayeli Villanueva,Santos Laguna,4,725
2022-2023,Apertura,39º,Desarae Nicolé Félix,Santos Laguna,4,1428
2022-2023,Apertura,40º,Carolina Solís,Puebla,4,968
2022-2023,Apertura,41º,Magaly Cortés,Mazatlán FC,4,1057
2022-2023,Apertura,42º,Diana Laura García,Rayadas,3,1118
2022-2023,Apertura,43º,Summer Alora Mason,Tijuana,3,1187
2022-2023,Apertura,44º,Daniela Espinosa,Tijuana,3,1488
2022-2023,Apertura,45º,Mónica Rose Alvarado,Pachuca,3,955
2022-2023,Apertura,46º,Jasmine Alexis Casarez,FC Juárez,3,1437
2022-2023,Apertura,47º,Joana Robles,Atlético de San Luis,3,1337
2022-2023,Apertura,48º,Julissa Fernanda Dávila,Atlético de San Luis,3,1485
2022-2023,Apertura,49º,Lia Mariel Romero,Santos Laguna,3,476
2022-2023,Apertura,50º,Alexxandra Ramírez,Santos Laguna,3,838
2022-2023,Apertura,51º,Brenda León,Santos Laguna,3,1205
2022-2023,Apertura,52º,Leidy Lizeth Ramos,Querétaro,3,895
2022-2023,Apertura,53º,Rebeca Villuendas,Puebla,3,757
2022-2023,Apertura,54º,Fátima Guadalupe Bracamonte,Puebla,3,1019
2022-2023,Apertura,55º,María Elena Sainz,Puebla,3,1530
2022-2023,Apertura,56º,Damaris Michel Godínez,Guadalajara,2,1202
2022-2023,Apertura,57º,Barbara Klarissa Olivieri,Rayadas,2,628
2022-2023,Apertura,58º,Daniela Lizbeth Solís,Rayadas,2,734
2022-2023,Apertura,59º,Rebeca Bernal,Rayadas,2,1196
2022-2023,Apertura,60º,Anika Elia Rodríguez,Tigres,2,470
2022-2023,Apertura,61º,Greta Alejandra Espinoza,Tigres,2,1080
2022-2023,Apertura,62º,Scarlett Nefer Camberos,América,2,779
2022-2023,Apertura,63º,Aurelie Anne Sophie Kaci,América,2,953
2022-2023,Apertura,64º,Nicolette Andrea Hernández,América,2,1173
2022-2023,Apertura,65º,Verónica Raquel Pérez,Tijuana,2,1135
2022-2023,Apertura,66º,Patricia De María Jardón,Toluca,2,1423
2022-2023,Apertura,67º,Marta Alexandra Cox Villarreal,Pachuca,2,1016
2022-2023,Apertura,68º,María Andrea Sánchez,Cruz Azul,2,1076
2022-2023,Apertura,69º,Claudia Fernanda Cid,Cruz Azul,2,1190
2022-2023,Apertura,70º,Ana Gabriela Lozada,Cruz Azul,2,1395
2022-2023,Apertura,71º,Rebeca Zavaleta,Pumas,2,1365
2022-2023,Apertura,72º,María Magalí Del Verdún Cuadrado,Atlas,2,219
2022-2023,Apertura,73º,Tania Paola Morales,Atlas,2,693
2022-2023,Apertura,74º,María Fernanda Daniela Pérez,Atlas,2,1262
2022-2023,Apertura,75º,Norma Luz Irene Duarte,Atlas,2,1334
2022-2023,Apertura,76º,Miah Alexia Zuazua,FC Juárez,2,972
2022-2023,Apertura,77º,Miriam Castillo,FC Juárez,2,1259
2022-2023,Apertura,78º,Andrea Hernández,FC Juárez,2,1530
2022-2023,Apertura,79º,Yashira Yuleth Barrientos,León,2,430
2022-2023,Apertura,80º,Lucero Ximena Cuevas,León,2,704
2022-2023,Apertura,81º,Liliana Sánchez,León,2,1350
2022-2023,Apertura,82º,Denisse Alejandra Rivera,Atlético de San Luis,2,835
2022-2023,Apertura,83º,Daniela Carrandi,Atlético de San Luis,2,1112
2022-2023,Apertura,84º,Sofía Varela,Santos Laguna,2,375
2022-2023,Apertura,85º,Cinthya Peraza,Santos Laguna,2,1056
2022-2023,Apertura,86º,Alejandra Guadalupe Curiel,Santos Laguna,2,1107
2022-2023,Apertura,87º,Maritza Dardane Maldonado,Querétaro,2,674
2022-2023,Apertura,88º,Ximena Elizabeth Rios,Querétaro,2,1400
2022-2023,Apertura,89º,Rubí Sarahí Ruvalcaba,Puebla,2,759
2022-2023,Apertura,90º,Bianca Esther Mora,Puebla,2,1440
2022-2023,Apertura,91º,Valeria Itzel Ríos,Mazatlán FC,2,608
2022-2023,Apertura,92º,Melisa Alejandra Ramos,Mazatlán FC,2,957
2022-2023,Apertura,93º,Olga Anahí Trasviña,Mazatlán FC,2,1378
2022-2023,Apertura,94º,Isabel Kasis,Guadalajara,1,232
2022-2023,Apertura,95º,Anette Natalia Vázquez,Guadalajara,1,233
2022-2023,Apertura,96º,Victoria Lizbeth Acevedo,Guadalajara,1,332
2022-2023,Apertura,97º,Joseline Montoya,Guadalajara,1,915
2022-2023,Apertura,98º,Michelle González,Guadalajara,1,973
2022-2023,Apertura,99º,Angélica Araceli Torres,Guadalajara,1,1412
2022-2023,Apertura,100º,Alejandra Guadalupe Martínez,Rayadas,1,119
2022-2023,Apertura,101º,Valeria Valdez,Rayadas,1,757
2022-2023,Apertura,102º,Bianca Elissa Sierra,Tigres,1,1266
2022-2023,Apertura,103º,Andrea Sanchez,América,1,344
2022-2023,Apertura,104º,Andrea Pereira,América,1,630
2022-2023,Apertura,105º,Janelly Farias,América,1,757
2022-2023,Apertura,106º,Amanda Araceli Pérez,América,1,842
2022-2023,Apertura,107º,Inglis Yoana Hernández,Tijuana,1,357
2022-2023,Apertura,108º,Paola Del Carmen Villamizar,Tijuana,1,965
2022-2023,Apertura,109º,Zaira Carolina Miranda,Toluca,1,132
2022-2023,Apertura,110º,Destinney Rosalía Duron,Toluca,1,635
2022-2023,Apertura,111º,María Fernanda Sánchez,Toluca,1,664
2022-2023,Apertura,112º,Liliana Rodríguez,Toluca,1,725
2022-2023,Apertura,113º,Natalia Judith Colín,Toluca,1,781
2022-2023,Apertura,114º,Diana Michelle Guatemala,Toluca,1,813
2022-2023,Apertura,115º,Karla Lorena Martínez,Toluca,1,1064
2022-2023,Apertura,116º,Noemí Granados,Toluca,1,1396
2022-2023,Apertura,117º,Jennifer Hermoso,Pachuca,1,471
2022-2023,Apertura,118º,Esbeydi Viridiana Salazar,Pachuca,1,485
2022-2023,Apertura,119º,Marlyn Margoth Campa,Pachuca,1,561
2022-2023,Apertura,120º,Blanky Denisse Serrano,Pachuca,1,672
2022-2023,Apertura,121º,Daniela Alexandra Arias,Pachuca,1,776
2022-2023,Apertura,122º,Hireri Velázquez,Cruz Azul,1,377
2022-2023,Apertura,123º,Renata Fernanda Huerta,Cruz Azul,1,653
2022-2023,Apertura,124º,Diana Laura García,Cruz Azul,1,823
2022-2023,Apertura,125º,Daniela Frank Flores,Cruz Azul,1,862
2022-2023,Apertura,126º,María Alejandra Peraza,Cruz Azul,1,870
2022-2023,Apertura,127º,Daniela Janet Monroy,Cruz Azul,1,976
2022-2023,Apertura,128º,Mirelle Arciniega,Cruz Azul,1,1028
2022-2023,Apertura,129º,Dalia Isabel Molina,Cruz Azul,1,1163
2022-2023,Apertura,130º,Ana Rosa García,Cruz Azul,1,1388
2022-2023,Apertura,131º,Grecia Valeria Pineda,Pumas,1,242
2022-2023,Apertura,132º,Samantha López,Pumas,1,286
2022-2023,Apertura,133º,Daniela Itzaxaya García,Pumas,1,583
2022-2023,Apertura,134º,Lucia Rodríguez,Pumas,1,712
2022-2023,Apertura,135º,Natalia Macías Valadez,Pumas,1,762
2022-2023,Apertura,136º,Paola Chavero,Pumas,1,870
2022-2023,Apertura,137º,Dinora Lizeth Garza,Pumas,1,1167
2022-2023,Apertura,138º,Marcia Paola García,Atlas,1,64
2022-2023,Apertura,139º,Sulma Yaderia Plancarte,Atlas,1,541
2022-2023,Apertura,140º,Alejandra Franco,Atlas,1,585
2022-2023,Apertura,141º,Sabrina Figueroa,Atlas,1,635
2022-2023,Apertura,142º,Alejandra Lomelí,Atlas,1,876
2022-2023,Apertura,143º,Zellyka Guadalupe Arce,Atlas,1,1098
2022-2023,Apertura,144º,Karen Andrea García,Atlas,1,1244
2022-2023,Apertura,145º,Valeria Razo,Atlas,1,1434
2022-2023,Apertura,146º,Karla Daniela Zempoalteca,FC Juárez,1,511
2022-2023,Apertura,147º,Natalia Guadalupe Penagos,León,1,87
2022-2023,Apertura,148º,Karen Itzayana Gómez,León,1,117
2022-2023,Apertura,149º,Romina Stefania Núñez,León,1,813
2022-2023,Apertura,150º,Madeleine Pasco,León,1,1196
2022-2023,Apertura,151º,Brenda Esmeralda Díaz,León,1,1323
2022-2023,Apertura,152º,Silvana González,Atlético de San Luis,1,434
2022-2023,Apertura,153º,Estefania Izaguirre,Atlético de San Luis,1,1035
2022-2023,Apertura,154º,Natalia Inés Gómez Junco,Atlético de San Luis,1,1457
2022-2023,Apertura,155º,Brenda Vanessa López,Santos Laguna,1,692
2022-2023,Apertura,156º,Barbrha Alejandra Figueroa,Querétaro,1,275
2022-2023,Apertura,157º,Sonia Vázquez,Querétaro,1,425
2022-2023,Apertura,158º,Lía Betsabé Morán,Querétaro,1,1386
2022-2023,Apertura,159º,Jaqueline González,Puebla,1,674
2022-2023,Apertura,160º,Fátima Rosales,Puebla,1,1351
2022-2023,Apertura,161º,Ivonne Najar,Puebla,1,1530
2022-2023,Apertura,162º,Jazmín Piza,Mazatlán FC,1,138
2022-2023,Apertura,163º,Yuliana Marlene Mora,Mazatlán FC,1,515
2022-2023,Apertura,164º,Karla Katia Saavedra,Mazatlán FC,1,907
2022-2023,Apertura,165º,Yaritza Yanely Arista,Mazatlán FC,1,1136
2022-2023,Apertura,166º,Iraida Guadalupe Fernández,Necaxa,1,494
2022-2023,Apertura,167º,Alejandra Guerrero,Necaxa,1,680
2022-2023,Apertura,168º,Reyna Sabina Velázquez,Necaxa,1,944
2022-2023,Apertura,169º,Fanny Lizeth Grano,Necaxa,1,1234
2022-2023,Apertura,170º,Samantha Kassandra Calvillo,Necaxa,1,1341
2022-2023,Apertura,171º,Dayán Vianey Fuentes,Necaxa,1,1489
