Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22,Columna_23,Columna_24,Columna_25,Columna_26,Columna_27,Columna_28
2022-2023,Clausura,1,Rayadas,17,12,3,2,46,15,31,39,9,8,1,0,32,6,26,25,8,4,2,2,14,9,5,14
2022-2023,Clausura,2,Tigres,17,12,2,3,48,13,35,38,9,8,1,0,32,3,29,25,8,4,1,3,16,10,6,13
2022-2023,Clausura,3,América,17,11,4,2,51,14,37,37,8,8,0,0,32,2,30,24,9,3,4,2,19,12,7,13
2022-2023,Clausura,4,Guadalajara,17,11,4,2,40,16,24,37,8,6,2,0,24,10,14,20,9,5,2,2,16,6,10,17
2022-2023,Clausura,5,Pachuca,17,11,3,3,54,24,30,36,9,8,0,1,41,9,32,24,8,3,3,2,13,15,-2,12
2022-2023,Clausura,6,FC Juárez,17,8,4,5,30,19,11,28,8,5,2,1,21,9,12,17,9,3,2,4,9,10,-1,11
2022-2023,Clausura,7,Atlas,17,8,4,5,28,33,-5,28,8,4,3,1,14,9,5,15,9,4,1,4,14,24,-10,13
2022-2023,Clausura,8,Tijuana,17,7,5,5,23,28,-5,26,9,4,4,1,13,7,6,16,8,3,1,4,10,21,-11,10
2022-2023,Clausura,9,Pumas,17,6,7,4,28,20,8,25,9,3,3,3,13,12,1,12,8,3,4,1,15,8,7,13
2022-2023,Clausura,10,Toluca,17,7,4,6,23,26,-3,25,9,3,2,4,10,11,-1,11,8,4,2,2,13,15,-2,14
2022-2023,Clausura,11,León,17,5,4,8,20,30,-10,19,8,4,1,3,9,10,-1,13,9,1,3,5,11,20,-9,6
2022-2023,Clausura,12,Querétaro,17,4,6,7,11,16,-5,18,8,1,3,4,3,9,-6,6,9,3,3,3,8,7,1,12
2022-2023,Clausura,13,Atlético de San Luis,17,5,2,10,22,35,-13,17,8,5,2,1,17,8,9,17,9,0,0,9,5,27,-22,0
2022-2023,Clausura,14,Santos Laguna,17,4,5,8,19,36,-17,17,9,4,2,3,14,11,3,14,8,0,3,5,5,25,-20,3
2022-2023,Clausura,15,Cruz Azul,17,2,7,8,14,23,-9,13,9,1,5,3,9,12,-3,8,8,1,2,5,5,11,-6,5
2022-2023,Clausura,16,Puebla,17,3,3,11,14,34,-20,12,9,3,2,4,8,11,-3,11,8,0,1,7,6,23,-17,1
2022-2023,Clausura,17,Necaxa,17,2,0,15,9,44,-35,6,8,1,0,7,6,23,-17,3,9,1,0,8,3,21,-18,3
2022-2023,Clausura,18,Mazatlán FC,17,1,1,15,6,60,-54,4,8,0,1,7,2,24,-22,1,9,1,0,8,4,36,-32,3
