Pos	Jugador	Club	G	MJ	ANOTA CADA	NACIONALIDAD
1º	 Lucía García	Rayadas	3	477	159.00 min	Español
1º	 Maricarmen Reyes	Tigres	3	257	85.67 min	Mexicano
1º	 Chrestinah Thembi Kgatlana	Tigres	3	505	168.33 min	Sudafricano
1º	 Lizbeth Jacqueline Ovalle	Tigres	3	522	174.00 min	Mexicano
5º	 Diana Laura García	Rayadas	2	507	253.50 min	Mexicano
6º	 Rebeca Bernal	Rayadas	2	540	270.00 min	Mexicano
7º	 Angelique Montserrat Saldivar	América	2	101	50.50 min	Mexicano
8º	 Priscila Flor Da Silva	América	2	162	81.00 min	Brasileño
9º	 Sarah Jacquelyn Luebbert	América	2	255	127.50 min	Estadounidense
10º	 Verónica Charlyn Corral	Pachuca	2	360	180.00 min	Mexicano
11º	 Christian Carolina Jaramillo	Guadalajara	2	135	67.50 min	Mexicano
12º	 Tanna Sánchez	Rayadas	1	142	142.00 min	Mexicano
13º	 Katty Martínez	Rayadas	1	176	176.00 min	Mexicano
14º	 Jermaine Seoposenwe	Rayadas	1	299	299.00 min	Sudafricano
15º	 Christina Marie Burkenroad	Rayadas	1	387	387.00 min	Mexicano
16º	 Joseline Montoya	Tigres	1	39	39.00 min	Mexicano
17º	 Sandra Stephany Mayor	Tigres	1	213	213.00 min	Mexicano
18º	 Ana Inés Costa Mendes	Tigres	1	383	383.00 min	Portugués
19º	 Greta Alejandra Espinoza	Tigres	1	540	540.00 min	Mexicano
20º	 Karen Irasema Luna	América	1	250	250.00 min	Mexicano
21º	 Scarlett Nefer Camberos	América	1	285	285.00 min	Mexicano
22º	 Irene Guerrero	América	1	329	329.00 min	Español
23º	 Chidinma Nkeruka Okeke	América	1	340	340.00 min	Nigeriano
24º	 Andrea Pereira	Pachuca	1	315	315.00 min	Español
25º	 Dayana Milan Martin	FC Juárez	1	24	24.00 min	Estadounidense
26º	 Prisca Chilufya	FC Juárez	1	179	179.00 min	Zambiano
27º	 Esbeydi Viridiana Salazar	Guadalajara	1	90	90.00 min	Mexicano
28º	 Stephanie Mariana Ribeiro	Pumas	1	167	167.00 min	Estadounidense
29º	 Cinthya Peraza	Toluca	1	179	179.00 min	Mexicano