Temporada,Torneo,Pos,Club,JJ,JG,JE,JP,GF,GC,Dif,PTS,JJ,JG,JE,JP,GF,GC,Dif,PTS,JJ,JG,JE,JP,GF,GC,Dif,PTS
2018-2019,Apertura,1,Tigres,16,12,4,0,51,19,32,40,8,5,3,0,25,8,17,18,8,7,1,0,26,11,15,22
2018-2019,Apertura,2,Pachuca,16,12,2,2,31,14,17,38,8,7,0,1,15,5,10,21,8,5,2,1,16,9,7,17
2018-2019,Apertura,3,América,16,11,2,3,28,12,16,35,8,6,0,2,13,6,7,18,8,5,2,1,15,6,9,17
2018-2019,Apertura,4,Guadalajara,16,9,4,3,30,16,14,31,8,4,2,2,11,9,2,14,8,5,2,1,19,7,12,17
2018-2019,Apertura,5,Rayadas,16,8,6,2,38,15,23,30,8,4,2,2,24,7,17,14,8,4,4,0,14,8,6,16
2018-2019,Apertura,6,Toluca,16,9,3,4,37,17,20,30,8,4,1,3,21,8,13,13,8,5,2,1,16,9,7,17
2018-2019,Apertura,7,Pumas,16,9,3,4,20,10,10,30,8,4,2,2,10,6,4,14,8,5,1,2,10,4,6,16
2018-2019,Apertura,8,Atlas,16,8,5,3,28,13,15,29,8,5,2,1,17,5,12,17,8,3,3,2,11,8,3,12
2018-2019,Apertura,9,Puebla,16,6,7,3,25,12,13,25,8,3,4,1,16,7,9,13,8,3,3,2,9,5,4,12
2018-2019,Apertura,10,León,16,6,4,6,20,21,-1,22,8,3,2,3,12,12,0,11,8,3,2,3,8,9,-1,11
2018-2019,Apertura,11,Querétaro,16,4,5,7,16,32,-16,17,8,2,2,4,7,10,-3,8,8,2,3,3,9,22,-13,9
2018-2019,Apertura,12,Lobos BUAP,16,4,2,10,18,28,-10,14,8,2,1,5,11,16,-5,7,8,2,1,5,7,12,-5,7
2018-2019,Apertura,13,M. Morelia,16,3,4,9,15,34,-19,13,8,2,1,5,10,20,-10,7,8,1,3,4,5,14,-9,6
2018-2019,Apertura,14,Veracruz,16,3,4,9,14,35,-21,13,8,2,3,3,10,15,-5,9,8,1,1,6,4,20,-16,4
2018-2019,Apertura,15,Tijuana,16,2,3,11,10,28,-18,9,8,2,2,4,4,9,-5,8,8,0,1,7,6,19,-13,1
2018-2019,Apertura,16,Cruz Azul,16,2,2,12,12,39,-27,8,8,2,1,5,8,15,-7,7,8,0,1,7,4,24,-20,1
2018-2019,Apertura,17,Santos Laguna,16,1,4,11,14,34,-20,7,8,0,4,4,9,16,-7,4,8,1,0,7,5,18,-13,3
2018-2019,Apertura,18,Necaxa,16,1,4,11,5,33,-28,7,8,0,2,6,1,14,-13,2,8,1,2,5,4,19,-15,5
