Temporada,Torneo,Pos,Club,JJ,JG,JE,JP,GF,GC,Dif,PTS,JJ,JG,JE,JP,GF,GC,Dif,PTS,JJ,JG,JE,JP,GF,GC,Dif,PTS
2019-2020,Clausura,1,Tigres,8,7,1,0,22,5,17,22,4,3,1,0,9,3,6,10,4,4,0,0,13,2,11,12
2019-2020,Clausura,2,Atlas,9,7,1,1,18,7,11,22,5,4,1,0,12,5,7,13,4,3,0,1,6,2,4,9
2019-2020,Clausura,3,Guadalajara,10,5,3,2,16,10,6,18,5,2,1,2,8,8,0,7,5,3,2,0,8,2,6,11
2019-2020,Clausura,4,Rayadas,8,5,2,1,15,9,6,17,4,3,0,1,9,6,3,9,4,2,2,0,6,3,3,8
2019-2020,Clausura,5,América,9,5,2,2,16,11,5,17,4,3,0,1,10,4,6,9,5,2,2,1,6,7,-1,8
2019-2020,Clausura,6,Pachuca,9,5,1,3,18,9,9,16,4,2,1,1,10,4,6,7,5,3,0,2,8,5,3,9
2019-2020,Clausura,7,León,9,5,1,3,18,12,6,16,4,2,1,1,8,2,6,7,5,3,0,2,10,10,0,9
2019-2020,Clausura,8,Cruz Azul,10,4,4,2,11,8,3,16,5,2,1,2,5,4,1,7,5,2,3,0,6,4,2,9
2019-2020,Clausura,9,Pumas,9,3,5,1,12,11,1,14,5,1,3,1,7,9,-2,6,4,2,2,0,5,2,3,8
2019-2020,Clausura,10,Tijuana,9,4,1,4,15,13,2,13,5,3,0,2,9,6,3,9,4,1,1,2,6,7,-1,4
2019-2020,Clausura,11,M. Morelia,10,4,1,5,14,12,2,13,5,2,0,3,5,5,0,6,5,2,1,2,9,7,2,7
2019-2020,Clausura,12,Puebla,10,3,2,5,9,9,0,11,6,0,2,4,2,7,-5,2,4,3,0,1,7,2,5,9
2019-2020,Clausura,13,Necaxa,9,2,3,4,10,17,-7,9,4,0,1,3,2,10,-8,1,5,2,2,1,8,7,1,8
2019-2020,Clausura,14,Atlético de San Luis,9,2,2,5,9,19,-10,8,5,1,0,4,6,14,-8,3,4,1,2,1,3,5,-2,5
2019-2020,Clausura,15,Toluca,10,2,1,7,7,18,-11,7,5,1,0,4,4,8,-4,3,5,1,1,3,3,10,-7,4
2019-2020,Clausura,16,FC Juárez,9,1,3,5,7,15,-8,6,4,0,3,1,1,4,-3,3,5,1,0,4,6,11,-5,3
2019-2020,Clausura,17,Querétaro,10,0,3,7,5,27,-22,3,5,0,2,3,3,10,-7,2,5,0,1,4,2,17,-15,1
2019-2020,Clausura,18,Santos Laguna,9,0,2,7,8,18,-10,2,4,0,2,2,4,7,-3,2,5,0,0,5,4,11,-7,0
