Temporada,Torneo,Pos,Club,JJ,JG,JE,JP,GF,GC,Dif,PTS,JJ,JG,JE,JP,GF,GC,Dif,PTS,JJ,JG,JE,JP,GF,GC,Dif,PTS
2023-2024,Clausura,1,Tigres,17,14,2,1,51,9,42,44,8,7,0,1,18,4,14,21,9,7,2,0,33,5,28,23
2023-2024,Clausura,2,Pachuca,17,13,3,1,50,15,35,42,9,5,3,1,21,6,15,18,8,8,0,0,29,9,20,24
2023-2024,Clausura,3,Rayadas,17,12,2,3,46,12,34,38,9,7,1,1,30,2,28,22,8,5,1,2,16,10,6,16
2023-2024,Clausura,4,América,17,11,2,4,47,19,28,35,9,7,0,2,27,9,18,21,8,4,2,2,20,10,10,14
2023-2024,Clausura,5,Guadalajara,17,9,5,3,35,16,19,32,8,6,2,0,27,6,21,20,9,3,3,3,8,10,-2,12
2023-2024,Clausura,6,Pumas,17,8,4,5,44,34,10,28,9,3,3,3,21,21,0,12,8,5,1,2,23,13,10,16
2023-2024,Clausura,7,León,17,8,4,5,31,24,7,28,8,4,2,2,18,15,3,14,9,4,2,3,13,9,4,14
2023-2024,Clausura,8,FC Juárez,17,7,6,4,32,20,12,27,8,4,2,2,14,9,5,14,9,3,4,2,18,11,7,13
2023-2024,Clausura,9,Toluca,17,7,6,4,34,24,10,27,9,5,2,2,26,13,13,17,8,2,4,2,8,11,-3,10
2023-2024,Clausura,10,Querétaro,17,6,4,7,22,32,-10,22,9,3,2,4,12,17,-5,11,8,3,2,3,10,15,-5,11
2023-2024,Clausura,11,Tijuana,17,6,3,8,32,31,1,21,9,4,2,3,21,15,6,14,8,2,1,5,11,16,-5,7
2023-2024,Clausura,12,Atlas,17,4,6,7,17,24,-7,18,9,1,2,6,7,19,-12,5,8,3,4,1,10,5,5,13
2023-2024,Clausura,13,Puebla,17,4,6,7,21,29,-8,18,9,2,3,4,9,16,-7,9,8,2,3,3,12,13,-1,9
2023-2024,Clausura,14,Mazatlán FC,17,4,1,12,20,55,-35,13,8,1,1,6,8,27,-19,4,9,3,0,6,12,28,-16,9
2023-2024,Clausura,15,Necaxa,17,3,3,11,16,44,-28,12,8,2,2,4,8,19,-11,8,9,1,1,7,8,25,-17,4
2023-2024,Clausura,16,Cruz Azul,17,2,2,13,18,48,-30,8,8,0,0,8,7,26,-19,0,9,2,2,5,11,22,-11,8
2023-2024,Clausura,17,Santos Laguna,17,2,2,13,15,65,-50,8,8,2,2,4,8,15,-7,8,9,0,0,9,7,50,-43,0
2023-2024,Clausura,18,Atlético de San Luis,17,1,3,13,16,46,-30,6,8,0,3,5,7,19,-12,3,9,1,0,8,9,27,-18,3
