Temporada, Torneo, Fase, Pos,Jugador,Club,G,MJ,ANOTA CADA,NACIONALIDAD
2024-2025,Apertura, Regular, 1,Verónica Charlyn Corral,Pachuca,18,1530,85.00 min,Mexicano
2024-2025,Apertura, Regular, 2,Aisha Keshy Solórzano,Tijuana,16,1385,86.56 min,Guatemalteco
2024-2025,Apertura, Regular, 3,Lizbeth Jacqueline Ovalle,Tigres,15,1251,83.40 min,Mexicano
2024-2025,Apertura, Regular, 4,Kiana Angélica Palacios,América,13,1141,87.77 min,Mexicano
2024-2025,Apertura, Regular, 5,Alicia Cervantes,Guadalajara,11,1490,135.45 min,Mexicano
2024-2025,Apertura, Regular, 6,Stephanie Mariana Ribeiro,Pumas,11,1033,93.91 min,Estadounidense
2024-2025,Apertura, Regular, 7,Sarah Jacquelyn Luebbert,América,10,1113,111.30 min,Estadounidense
2024-2025,Apertura, Regular, 8,Christina Marie Burkenroad,Rayadas,9,801,89.00 min,Mexicano
2024-2025,Apertura, Regular, 9,Chinwendu Verónica Ihezuo,Pachuca,9,1073,119.22 min,Nigeriano
2024-2025,Apertura, Regular, 10,María Paula Salas,Atlas,9,1211,134.56 min,Costarricense
2024-2025,Apertura, Regular, 11,Mariel Román,Toluca,8,1278,159.75 min,Mexicano
2024-2025,Apertura, Regular, 12,Jasmine Alexis Casarez,FC Juárez,7,1077,153.86 min,Mexicano
2024-2025,Apertura, Regular, 13,Dania Nicole Pérez,Rayadas,6,959,159.83 min,Mexicano
2024-2025,Apertura, Regular, 14,Michaela Batya Bisi Abam,Toluca,6,1084,180.67 min,Estadounidense
2024-2025,Apertura, Regular, 15,Cinthya Peraza,Toluca,6,1417,236.17 min,Mexicano
2024-2025,Apertura, Regular, 16,Enekia Kasonga Lunyamila,Mazatlán FC,6,1067,177.83 min,Tanzano
2024-2025,Apertura, Regular, 17,Lucía García,Rayadas,5,732,146.40 min,Español
2024-2025,Apertura, Regular, 18,Scarlett Nefer Camberos,América,5,758,151.60 min,Mexicano
2024-2025,Apertura, Regular, 19,Irene Guerrero,América,5,1209,241.80 min,Español
2024-2025,Apertura, Regular, 20,Aerial Lynndonna Chavarin,Pumas,5,1158,231.60 min,Estadounidense
2024-2025,Apertura, Regular, 21,Edna Fabiola Santamaria,Querétaro,5,1258,251.60 min,Mexicano
2024-2025,Apertura, Regular, 22,Marcia Paola García,Atlas,5,774,154.80 min,Mexicano
2024-2025,Apertura, Regular, 23,Ana Lucia Martínez,Rayadas,4,662,165.50 min,Guatemalteco
2024-2025,Apertura, Regular, 24,Chrestinah Thembi Kgatlana,Tigres,4,1010,252.50 min,Sudafricano
2024-2025,Apertura, Regular, 25,Dayana Milan Martin,FC Juárez,4,370,92.50 min,Estadounidense
2024-2025,Apertura, Regular, 26,Janelly Farias,FC Juárez,4,1209,302.25 min,Mexicano
2024-2025,Apertura, Regular, 27,Adriana Iturbide,Guadalajara,4,459,114.75 min,Mexicano
2024-2025,Apertura, Regular, 28,Gabriela Valenzuela,Guadalajara,4,1191,297.75 min,Mexicano
2024-2025,Apertura, Regular, 29,Deneisha Selena Blackwood,Pumas,4,1354,338.50 min,Jamaiquino
2024-2025,Apertura, Regular, 30,Wendis Jhoana Cabrera,Querétaro,4,610,152.50 min,Colombiano
2024-2025,Apertura, Regular, 31,Dalia Isabel Molina,Cruz Azul,4,1261,315.25 min,Mexicano
2024-2025,Apertura, Regular, 32,María Fernanda Sánchez,Atlético de San Luis,4,1310,327.50 min,Mexicano
2024-2025,Apertura, Regular, 33,Allison Rose Veloz,Necaxa,4,1182,295.50 min,Estadounidense
2024-2025,Apertura, Regular, 34,Jermaine Seoposenwe,Rayadas,3,683,227.67 min,Sudafricano
2024-2025,Apertura, Regular, 35,Ana Inés Costa Mendes,Tigres,3,543,181.00 min,Portugués
2024-2025,Apertura, Regular, 36,Alison Hecnary González,Tigres,3,669,223.00 min,Mexicano
2024-2025,Apertura, Regular, 37,Jennifer Hermoso,Tigres,3,712,237.33 min,Español
2024-2025,Apertura, Regular, 38,Priscila Flor Da Silva,América,3,315,105.00 min,Brasileño
2024-2025,Apertura, Regular, 39,María Natalia Mauleon,América,3,438,146.00 min,Mexicano
2024-2025,Apertura, Regular, 40,Angelique Montserrat Saldivar,América,3,508,169.33 min,Mexicano
2024-2025,Apertura, Regular, 41,Aylin Ariana Aviléz,América,3,524,174.67 min,Mexicano
2024-2025,Apertura, Regular, 42,Karen Irasema Luna,América,3,1222,407.33 min,Mexicano
2024-2025,Apertura, Regular, 43,Grace Asantewaa,FC Juárez,3,1207,402.33 min,Ghanés
2024-2025,Apertura, Regular, 44,Annia Stephany Mejía,FC Juárez,3,1347,449.00 min,Mexicano
2024-2025,Apertura, Regular, 45,Christian Carolina Jaramillo,Guadalajara,3,907,302.33 min,Mexicano
2024-2025,Apertura, Regular, 46,Dorian Montserrat Hernández,Guadalajara,3,1015,338.33 min,Mexicano
2024-2025,Apertura, Regular, 47,Sindia Anahi Arteaga,Pumas,3,675,225.00 min,Mexicano
2024-2025,Apertura, Regular, 48,Amandine Henry,Toluca,3,634,211.33 min,Francés
2024-2025,Apertura, Regular, 49,Brenda Woch Da Graca,Toluca,3,1296,432.00 min,Brasileño
2024-2025,Apertura, Regular, 50,Daniela Espinosa,Tijuana,3,820,273.33 min,Mexicano
2024-2025,Apertura, Regular, 51,Mayra Alejandra Pelayo-bernal,Tijuana,3,1088,362.67 min,Mexicano
2024-2025,Apertura, Regular, 52,Dulce Maria Alvarado,Querétaro,3,402,134.00 min,Mexicano
2024-2025,Apertura, Regular, 53,Solange Lemos,Querétaro,3,1468,489.33 min,Uruguayo
2024-2025,Apertura, Regular, 54,Ximena Elizabeth Rios,Cruz Azul,3,909,303.00 min,Mexicano
2024-2025,Apertura, Regular, 55,Danielle Marie Fuentes,Cruz Azul,3,1163,387.67 min,Estadounidense
2024-2025,Apertura, Regular, 56,Lizbeth Ángeles,León,3,940,313.33 min,Mexicano
2024-2025,Apertura, Regular, 57,María Cristina Montaño,Mazatlán FC,3,1382,460.67 min,Mexicano
2024-2025,Apertura, Regular, 58,Sandra Nabweteme,Santos Laguna,3,296,98.67 min,Ugandés
2024-2025,Apertura, Regular, 59,Katty Martínez,Rayadas,2,614,307.00 min,Mexicano
2024-2025,Apertura, Regular, 60,Diana Laura García,Rayadas,2,1031,515.50 min,Mexicano
2024-2025,Apertura, Regular, 61,Rebeca Bernal,Rayadas,2,1210,605.00 min,Mexicano
2024-2025,Apertura, Regular, 62,Tanna Sánchez,Rayadas,2,1247,623.50 min,Mexicano
2024-2025,Apertura, Regular, 63,Maricarmen Reyes,Tigres,2,840,420.00 min,Mexicano
2024-2025,Apertura, Regular, 64,Sandra Stephany Mayor,Tigres,2,1087,543.50 min,Mexicano
2024-2025,Apertura, Regular, 65,Nicolette Andrea Hernández,América,2,841,420.50 min,Mexicano
2024-2025,Apertura, Regular, 66,Kimberly Vanessa Rodríguez,América,2,849,424.50 min,Mexicano
2024-2025,Apertura, Regular, 67,Nina Dominique Nicosia,Pachuca,2,475,237.50 min,Mexicano
2024-2025,Apertura, Regular, 68,Mónica Ocampo,Pachuca,2,734,367.00 min,Mexicano
2024-2025,Apertura, Regular, 69,Ohale Osinachi,Pachuca,2,1253,626.50 min,Nigeriano
2024-2025,Apertura, Regular, 70,Prisca Chilufya,FC Juárez,2,1003,501.50 min,Zambiano
2024-2025,Apertura, Regular, 71,Liliana Mercado,FC Juárez,2,1134,567.00 min,Mexicano
2024-2025,Apertura, Regular, 72,Karime Abud,FC Juárez,2,1448,724.00 min,Mexicano
2024-2025,Apertura, Regular, 73,Esbeydi Viridiana Salazar,Guadalajara,2,1112,556.00 min,Mexicano
2024-2025,Apertura, Regular, 74,Kinberly Paloma Guzmán,Guadalajara,2,1321,660.50 min,Mexicano
2024-2025,Apertura, Regular, 75,Laura Herrera,Pumas,2,530,265.00 min,Mexicano
2024-2025,Apertura, Regular, 76,Alejandra Guerrero,Pumas,2,1091,545.50 min,Mexicano
2024-2025,Apertura, Regular, 77,Paola Del Carmen Villamizar,Tijuana,2,733,366.50 min,Venezolano
2024-2025,Apertura, Regular, 78,Mónica Rose Alvarado,Tijuana,2,1064,532.00 min,Mexicano
2024-2025,Apertura, Regular, 79,Bianca Esther Mora,Tijuana,2,1153,576.50 min,Mexicano
2024-2025,Apertura, Regular, 80,Emily Loriana Flores,Querétaro,2,1268,634.00 min,Costarricense
2024-2025,Apertura, Regular, 81,Alondra Karime Camargo,Querétaro,2,1530,765.00 min,Mexicano
2024-2025,Apertura, Regular, 82,Kayla Laurynn Fernandez,Atlas,2,369,184.50 min,Mexicano
2024-2025,Apertura, Regular, 83,Brenda Damaris Ceren,Atlas,2,1401,700.50 min,Salvadoreño
2024-2025,Apertura, Regular, 84,María Fernanda Daniela Pérez,Atlas,2,1530,765.00 min,Mexicano
2024-2025,Apertura, Regular, 85,Sarah Anne Mary Huchet,Cruz Azul,2,607,303.50 min,Francés
2024-2025,Apertura, Regular, 86,Ana Rosa García,Cruz Azul,2,780,390.00 min,Mexicano
2024-2025,Apertura, Regular, 87,Renata Fernanda Huerta,Cruz Azul,2,873,436.50 min,Mexicano
2024-2025,Apertura, Regular, 88,Danya Jasmin Gutiérrrez,Cruz Azul,2,902,451.00 min,Mexicano
2024-2025,Apertura, Regular, 89,Edith Deyanira Carmona,Cruz Azul,2,1417,708.50 min,Mexicano
2024-2025,Apertura, Regular, 90,Valeria Valdez,Cruz Azul,2,1529,764.50 min,Mexicano
2024-2025,Apertura, Regular, 91,Elliana Rose Ramirez,León,2,288,144.00 min,Mexicano
2024-2025,Apertura, Regular, 92,Yashira Yuleth Barrientos,León,2,625,312.50 min,Mexicano
2024-2025,Apertura, Regular, 93,Daniela Calderón,León,2,751,375.50 min,Mexicano
2024-2025,Apertura, Regular, 94,Michelle Guadalupe Gutiérrez,Atlético de San Luis,2,120,60.00 min,Mexicano
2024-2025,Apertura, Regular, 95,Denisse Alejandra Rivera,Atlético de San Luis,2,846,423.00 min,Mexicano
2024-2025,Apertura, Regular, 96,Isidora Victoria Olave,Atlético de San Luis,2,1422,711.00 min,Chileno
2024-2025,Apertura, Regular, 97,Olga Massombo,Mazatlán FC,2,713,356.50 min,Congalí (RD)
2024-2025,Apertura, Regular, 98,Sebelle Elysse Rojas,Puebla,2,1222,611.00 min,Mexicano
2024-2025,Apertura, Regular, 99,Johana Esperanza Rosas,Puebla,2,1269,634.50 min,Mexicano
2024-2025,Apertura, Regular, 100,Kimberli Anahí Gómez,Santos Laguna,2,1177,588.50 min,Mexicano
2024-2025,Apertura, Regular, 101,Ana Gabriela Huerta,Necaxa,2,915,457.50 min,Mexicano
2024-2025,Apertura, Regular, 102,Carla Monique Montes,Rayadas,1,94,94.00 min,Mexicano
2024-2025,Apertura, Regular, 103,Lourdes Sofía Martínez,Rayadas,1,121,121.00 min,Mexicano
2024-2025,Apertura, Regular, 104,Marcela Restrepo,Rayadas,1,421,421.00 min,Colombiano
2024-2025,Apertura, Regular, 105,Diana Laura Evangelista,Rayadas,1,617,617.00 min,Mexicano
2024-2025,Apertura, Regular, 106,Myra Alexandra Delgadillo,Rayadas,1,695,695.00 min,Mexicano
2024-2025,Apertura, Regular, 107,Karol Esthefany Bernal,Rayadas,1,783,783.00 min,Mexicano
2024-2025,Apertura, Regular, 108,María Fernanda Elizondo,Tigres,1,111,111.00 min,Mexicano
2024-2025,Apertura, Regular, 109,Natalia Judith Colín,Tigres,1,253,253.00 min,Mexicano
2024-2025,Apertura, Regular, 110,Lydia Nayeli Rangel,Tigres,1,399,399.00 min,Mexicano
2024-2025,Apertura, Regular, 111,Joseline Montoya,Tigres,1,443,443.00 min,Mexicano
2024-2025,Apertura, Regular, 112,Belén De Jesús Cruz,Tigres,1,694,694.00 min,Mexicano
2024-2025,Apertura, Regular, 113,Cristina Del Carmen Ferral,Tigres,1,890,890.00 min,Mexicano
2024-2025,Apertura, Regular, 114,Greta Alejandra Espinoza,Tigres,1,1119,1119.00 min,Mexicano
2024-2025,Apertura, Regular, 115,Rebekah Alysee Valdez,América,1,11,11.00 min,Mexicano
2024-2025,Apertura, Regular, 116,Alexa Soto,América,1,82,82.00 min,Mexicano
2024-2025,Apertura, Regular, 117,Nancy Guadalupe Antonio,América,1,1110,1110.00 min,Mexicano
2024-2025,Apertura, Regular, 118,Abril Anahí Fragoso,Pachuca,1,33,33.00 min,Mexicano
2024-2025,Apertura, Regular, 119,Shanice Janice Van De Sanden,Pachuca,1,550,550.00 min,Neerlandés
2024-2025,Apertura, Regular, 120,Amanda Araceli Pérez,Pachuca,1,721,721.00 min,Mexicano
2024-2025,Apertura, Regular, 121,Alice Fernanda Soto,Pachuca,1,818,818.00 min,Mexicano
2024-2025,Apertura, Regular, 122,Alexandra Guadalupe Godínez,Pachuca,1,956,956.00 min,Mexicano
2024-2025,Apertura, Regular, 123,Yirleidis Quejada,Pachuca,1,1153,1153.00 min,Colombiano
2024-2025,Apertura, Regular, 124,Daniela Frank Flores,Pachuca,1,1233,1233.00 min,Mexicano
2024-2025,Apertura, Regular, 125,Vaitiare Kenti Robles,Pachuca,1,1366,1366.00 min,Mexicano
2024-2025,Apertura, Regular, 126,Blanca María Solís,FC Juárez,1,148,148.00 min,Mexicano
2024-2025,Apertura, Regular, 127,Mónica Desiree Monsiváis,FC Juárez,1,173,173.00 min,Mexicano
2024-2025,Apertura, Regular, 128,Eva Beatriz González,FC Juárez,1,353,353.00 min,Mexicano
2024-2025,Apertura, Regular, 129,Amalia Phoebe López,Guadalajara,1,102,102.00 min,Mexicano
2024-2025,Apertura, Regular, 130,Kristal Rubi Soto,Guadalajara,1,232,232.00 min,Mexicano
2024-2025,Apertura, Regular, 131,Yamile Azenek Franco,Guadalajara,1,424,424.00 min,Mexicano
2024-2025,Apertura, Regular, 132,Angélica Araceli Torres,Guadalajara,1,1163,1163.00 min,Mexicano
2024-2025,Apertura, Regular, 133,Diana Jaqueline Rodríguez,Guadalajara,1,1318,1318.00 min,Mexicano
2024-2025,Apertura, Regular, 134,Camila Vite,Pumas,1,114,114.00 min,Mexicano
2024-2025,Apertura, Regular, 135,Dania Belén Padilla,Pumas,1,989,989.00 min,Mexicano
2024-2025,Apertura, Regular, 136,Karen Becerril,Pumas,1,1038,1038.00 min,Mexicano
2024-2025,Apertura, Regular, 137,Carina Felipe,Pumas,1,1332,1332.00 min,Uruguayo
2024-2025,Apertura, Regular, 138,Paola Chavero,Pumas,1,1350,1350.00 min,Mexicano
2024-2025,Apertura, Regular, 139,Celia Chainez Bensalem,Toluca,1,336,336.00 min,Francés
2024-2025,Apertura, Regular, 140,Liliana Rodríguez,Toluca,1,627,627.00 min,Mexicano
2024-2025,Apertura, Regular, 141,Diana Paola Monroy,Toluca,1,796,796.00 min,Mexicano
2024-2025,Apertura, Regular, 142,Brenda Vega,Toluca,1,1038,1038.00 min,Mexicano
2024-2025,Apertura, Regular, 143,Mitsy Nayelli Ramirez,Toluca,1,1228,1228.00 min,Mexicano
2024-2025,Apertura, Regular, 144,Claudia Fernanda Cid,Tijuana,1,127,127.00 min,Mexicano
2024-2025,Apertura, Regular, 145,Iraida Guadalupe Fernández,Tijuana,1,223,223.00 min,Mexicano
2024-2025,Apertura, Regular, 146,Nathaly Sofía Martínez,Tijuana,1,452,452.00 min,Mexicano
2024-2025,Apertura, Regular, 147,Fabiola Villalobos,Tijuana,1,467,467.00 min,Costarricense
2024-2025,Apertura, Regular, 148,Andrea González,Tijuana,1,548,548.00 min,Mexicano
2024-2025,Apertura, Regular, 149,Ammanda Mariee Marroquin,Tijuana,1,1100,1100.00 min,Mexicano
2024-2025,Apertura, Regular, 150,Bibiana Guadalupe Quintos,Tijuana,1,1153,1153.00 min,Mexicano
2024-2025,Apertura, Regular, 151,Daphne Melissa Herrera,Tijuana,1,1249,1249.00 min,Costarricense
2024-2025,Apertura, Regular, 152,Victoria Sarahí Ceceña,Querétaro,1,383,383.00 min,Mexicano
2024-2025,Apertura, Regular, 153,Alejandra Lomelí,Atlas,1,563,563.00 min,Mexicano
2024-2025,Apertura, Regular, 154,Jaquelín García,Atlas,1,1330,1330.00 min,Mexicano
2024-2025,Apertura, Regular, 155,Vivian Obianujuwan Ikechukwu,Cruz Azul,1,577,577.00 min,Nigeriano
2024-2025,Apertura, Regular, 156,Julissa Fernanda Dávila,Cruz Azul,1,760,760.00 min,Mexicano
2024-2025,Apertura, Regular, 157,Ivonne Gutiérrez,Cruz Azul,1,926,926.00 min,Mexicano
2024-2025,Apertura, Regular, 158,Itzell Alemán,León,1,370,370.00 min,Mexicano
2024-2025,Apertura, Regular, 159,Sanjuana De Jesús Muñoz,León,1,568,568.00 min,Mexicano
2024-2025,Apertura, Regular, 160,Vanessa Guadalupe López,León,1,862,862.00 min,Mexicano
2024-2025,Apertura, Regular, 161,Yanin Madrid,León,1,895,895.00 min,Mexicano
2024-2025,Apertura, Regular, 162,Joana Robles,Atlético de San Luis,1,834,834.00 min,Mexicano
2024-2025,Apertura, Regular, 163,Laura Montserrat Parra,Atlético de San Luis,1,1353,1353.00 min,Mexicano
2024-2025,Apertura, Regular, 164,Farlyn Fernanda Caicedo,Atlético de San Luis,1,1420,1420.00 min,Colombiano
2024-2025,Apertura, Regular, 165,Sinoxolo Cesane,Mazatlán FC,1,1098,1098.00 min,Sudafricano
2024-2025,Apertura, Regular, 166,Gabriela Rocío Álvarez,Mazatlán FC,1,1205,1205.00 min,Mexicano
2024-2025,Apertura, Regular, 167,Brenda Judith García,Mazatlán FC,1,1440,1440.00 min,Mexicano
2024-2025,Apertura, Regular, 168,Joselyn Solís,Puebla,1,94,94.00 min,Mexicano
2024-2025,Apertura, Regular, 169,Vania Itzel Moron,Puebla,1,135,135.00 min,Mexicano
2024-2025,Apertura, Regular, 170,Venicia Gabriela Juárez,Puebla,1,198,198.00 min,Mexicano
2024-2025,Apertura, Regular, 171,Dulce María Méndez,Puebla,1,208,208.00 min,Mexicano
2024-2025,Apertura, Regular, 172,Liliana Fernández,Puebla,1,222,222.00 min,Mexicano
2024-2025,Apertura, Regular, 173,Anna Jane Loftus,Puebla,1,662,662.00 min,Inglés
2024-2025,Apertura, Regular, 174,Luisa Fernanda De Alba,Puebla,1,796,796.00 min,Mexicano
2024-2025,Apertura, Regular, 175,Ahtziri Méndez,Puebla,1,833,833.00 min,Mexicano
2024-2025,Apertura, Regular, 176,Rubí Iridian Villegas,Puebla,1,1305,1305.00 min,Mexicano
2024-2025,Apertura, Regular, 177,María Magalí Del Verdún Cuadrado,Santos Laguna,1,422,422.00 min,Uruguayo
2024-2025,Apertura, Regular, 178,Frida Carolina Cussin,Santos Laguna,1,574,574.00 min,Mexicano
2024-2025,Apertura, Regular, 179,Lia Mariel Romero,Santos Laguna,1,588,588.00 min,Mexicano
2024-2025,Apertura, Regular, 180,Yessenia Esmeralda Novella,Santos Laguna,1,904,904.00 min,Mexicano
2024-2025,Apertura, Regular, 181,Michel Anahy Ruiz,Santos Laguna,1,1037,1037.00 min,Mexicano
2024-2025,Apertura, Regular, 182,Havi Larisa Ibarra,Santos Laguna,1,1409,1409.00 min,Mexicano
2024-2025,Apertura, Regular, 183,Quetzali Jahoumara Barranco,Necaxa,1,581,581.00 min,Mexicano
2024-2025,Apertura, Regular, 184,Athziri Guadalupe Alonso,Necaxa,1,817,817.00 min,Mexicano
