Temporada,Torneo,Columna_1,Columna_2,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22,Columna_23,Columna_24,Columna_25,Columna_26
2024-2025,Apertura,1,Rayadas,17,13,3,1,41,11,30,42,8,7,0,1,27,8,19,21,9,6,3,0,14,3,11,21
2024-2025,Apertura,2,Tigres,17,13,2,2,41,12,29,41,9,7,1,1,22,6,16,22,8,6,1,1,19,6,13,19
2024-2025,Apertura,3,América,17,12,4,1,55,11,44,40,8,5,3,0,26,5,21,18,9,7,1,1,29,6,23,22
2024-2025,Apertura,4,Pachuca,17,11,4,2,42,16,26,37,8,6,2,0,21,3,18,20,9,5,2,2,21,13,8,17
2024-2025,Apertura,5,FC Juárez,17,10,2,5,32,14,18,32,8,5,1,2,13,5,8,16,9,5,1,3,19,9,10,16
2024-2025,Apertura,6,Guadalajara,17,9,3,5,34,25,9,30,9,5,3,1,21,9,12,18,8,4,0,4,13,16,-3,12
2024-2025,Apertura,7,Pumas,17,9,2,6,33,31,2,29,9,5,1,3,16,12,4,16,8,4,1,3,17,19,-2,13
2024-2025,Apertura,8,Toluca,17,8,2,7,31,30,1,26,9,5,0,4,16,16,0,15,8,3,2,3,15,14,1,11
2024-2025,Apertura,9,Tijuana,17,8,1,8,36,31,5,25,9,6,0,3,22,11,11,18,8,2,1,5,14,20,-6,7
2024-2025,Apertura,10,Querétaro,17,7,4,6,20,23,-3,25,9,3,2,4,8,15,-7,11,8,4,2,2,12,8,4,14
2024-2025,Apertura,11,Atlas,17,7,4,6,23,27,-4,25,8,4,2,2,13,10,3,14,9,3,2,4,10,17,-7,11
2024-2025,Apertura,12,Cruz Azul,17,6,2,9,25,27,-2,20,8,4,2,2,16,12,4,14,9,2,0,7,9,15,-6,6
2024-2025,Apertura,13,León,17,5,4,8,14,23,-9,19,8,5,2,1,10,6,4,17,9,0,2,7,4,17,-13,2
2024-2025,Apertura,14,Atlético de San Luis,17,2,4,11,15,41,-26,10,9,2,1,6,11,22,-11,7,8,0,3,5,4,19,-15,3
2024-2025,Apertura,15,Mazatlán FC,17,3,1,13,14,55,-41,10,9,1,0,8,7,34,-27,3,8,2,1,5,7,21,-14,7
2024-2025,Apertura,16,Puebla,17,2,3,12,13,29,-16,9,8,2,2,4,9,10,-1,8,9,0,1,8,4,19,-15,1
2024-2025,Apertura,17,Santos Laguna,17,2,2,13,11,38,-27,8,9,2,2,5,8,14,-6,8,8,0,0,8,3,24,-21,0
2024-2025,Apertura,18,Necaxa,17,2,1,14,8,44,-36,7,8,1,0,7,3,21,-18,3,9,1,1,7,5,23,-18,4
2023-2024,Apertura,1,Tigres,17,14,2,1,51,11,40,44,9,8,0,1,27,7,20,24,8,6,2,0,24,4,20,20
2023-2024,Apertura,2,América,17,14,0,3,65,23,42,42,8,7,0,1,31,8,23,21,9,7,0,2,34,15,19,21
2023-2024,Apertura,3,Guadalajara,17,13,3,1,43,11,32,42,9,8,1,0,23,3,20,25,8,5,2,1,20,8,12,17
2023-2024,Apertura,4,Rayadas,17,11,5,1,41,13,28,38,8,5,3,0,21,7,14,18,9,6,2,1,20,6,14,20
2023-2024,Apertura,5,Tijuana,17,10,4,3,35,21,14,34,8,2,4,2,10,11,-1,10,9,8,0,1,25,10,15,24
2023-2024,Apertura,6,Toluca,17,9,3,5,28,26,2,30,8,5,2,1,16,8,8,17,9,4,1,4,12,18,-6,13
2023-2024,Apertura,7,Pachuca,17,8,3,6,42,31,11,27,8,6,0,2,23,13,10,18,9,2,3,4,19,18,1,9
2023-2024,Apertura,8,Pumas,17,8,2,7,37,27,10,26,8,7,0,1,28,10,18,21,9,1,2,6,9,17,-8,5
2023-2024,Apertura,9,FC Juárez,17,7,5,5,28,23,5,26,9,4,3,2,15,10,5,15,8,3,2,3,13,13,0,11
2023-2024,Apertura,10,León,17,7,2,8,20,30,-10,23,9,5,1,3,14,13,1,16,8,2,1,5,6,17,-11,7
2023-2024,Apertura,11,Cruz Azul,17,7,1,9,25,32,-7,22,9,5,0,4,19,18,1,15,8,2,1,5,6,14,-8,7
2023-2024,Apertura,12,Querétaro,17,6,3,8,25,28,-3,21,8,3,2,3,12,11,1,11,9,3,1,5,13,17,-4,10
2023-2024,Apertura,13,Atlas,17,5,3,9,20,32,-12,18,8,4,1,3,12,14,-2,13,9,1,2,6,8,18,-10,5
2023-2024,Apertura,14,Puebla,17,4,2,11,19,42,-23,14,8,3,2,3,13,19,-6,11,9,1,0,8,6,23,-17,3
2023-2024,Apertura,15,Atlético de San Luis,17,3,3,11,17,34,-17,12,9,3,1,5,10,12,-2,10,8,0,2,6,7,22,-15,2
2023-2024,Apertura,16,Necaxa,17,2,2,13,10,44,-34,8,9,1,2,6,7,19,-12,5,8,1,0,7,3,25,-22,3
2023-2024,Apertura,17,Santos Laguna,17,0,5,12,12,51,-39,5,9,0,2,7,7,30,-23,2,8,0,3,5,5,21,-16,3
2023-2024,Apertura,18,Mazatlán FC,17,0,2,15,12,51,-39,2,9,0,1,8,8,21,-13,1,8,0,1,7,4,30,-26,1
2022-2023,Apertura,1,Guadalajara,17,14,1,2,36,10,26,43,9,8,1,0,25,4,21,25,8,6,0,2,11,6,5,18
2022-2023,Apertura,2,Rayadas,17,13,3,1,46,16,30,42,8,7,1,0,24,5,19,22,9,6,2,1,22,11,11,20
2022-2023,Apertura,3,Tigres,17,12,2,3,48,13,35,38,8,7,1,0,26,6,20,22,9,5,1,3,22,7,15,16
2022-2023,Apertura,4,América,17,11,3,3,37,16,21,36,9,7,0,2,21,7,14,21,8,4,3,1,16,9,7,15
2022-2023,Apertura,5,Tijuana,17,8,5,4,34,25,9,29,8,3,4,1,16,12,4,13,9,5,1,3,18,13,5,16
2022-2023,Apertura,6,Toluca,17,8,2,7,27,29,-2,26,8,5,1,2,14,10,4,16,9,3,1,5,13,19,-6,10
2022-2023,Apertura,7,Pachuca,17,8,1,8,35,25,10,25,8,6,0,2,20,5,15,18,9,2,1,6,15,20,-5,7
2022-2023,Apertura,8,Cruz Azul,17,7,4,6,16,16,0,25,8,4,3,1,8,2,6,15,9,3,1,5,8,14,-6,10
2022-2023,Apertura,9,Pumas,17,7,3,7,30,36,-6,24,8,4,2,2,18,9,9,14,9,3,1,5,12,27,-15,10
2022-2023,Apertura,10,Atlas,17,6,5,6,25,25,0,23,9,4,2,3,17,13,4,14,8,2,3,3,8,12,-4,9
2022-2023,Apertura,11,FC Juárez,17,7,1,9,24,28,-4,22,9,4,0,5,14,15,-1,12,8,3,1,4,10,13,-3,10
2022-2023,Apertura,12,León,17,6,3,8,22,26,-4,21,9,2,2,5,9,11,-2,8,8,4,1,3,13,15,-2,13
2022-2023,Apertura,13,Atlético de San Luis,17,7,0,10,23,36,-13,21,9,3,0,6,12,20,-8,9,8,4,0,4,11,16,-5,12
2022-2023,Apertura,14,Santos Laguna,17,6,1,10,24,36,-12,19,8,3,0,5,14,21,-7,9,9,3,1,5,10,15,-5,10
2022-2023,Apertura,15,Querétaro,17,3,3,11,16,31,-15,12,9,2,2,5,9,13,-4,8,8,1,1,6,7,18,-11,4
2022-2023,Apertura,16,Puebla,17,3,2,12,20,38,-18,11,8,3,0,5,14,18,-4,9,9,0,2,7,6,20,-14,2
2022-2023,Apertura,17,Mazatlán FC,17,3,2,12,15,49,-34,11,9,3,0,6,9,24,-15,9,8,0,2,6,6,25,-19,2
2022-2023,Apertura,18,Necaxa,17,1,5,11,12,35,-23,8,9,0,4,5,7,18,-11,4,8,1,1,6,5,17,-12,4
2021-2022,Apertura,1,Tigres,17,15,2,0,52,7,45,47,9,9,0,0,34,4,30,27,8,6,2,0,18,3,15,20
2021-2022,Apertura,2,Rayadas,17,14,2,1,45,10,35,44,8,8,0,0,23,3,20,24,9,6,2,1,22,7,15,20
2021-2022,Apertura,3,Atlas,17,11,3,3,30,16,14,36,8,5,1,2,12,10,2,16,9,6,2,1,18,6,12,20
2021-2022,Apertura,4,Guadalajara,17,10,3,4,35,17,18,33,9,7,1,1,21,6,15,22,8,3,2,3,14,11,3,11
2021-2022,Apertura,5,América,17,9,4,4,33,19,14,31,9,6,2,1,21,9,12,20,8,3,2,3,12,10,2,11
2021-2022,Apertura,6,Santos Laguna,17,9,3,5,37,26,11,30,8,4,3,1,18,11,7,15,9,5,0,4,19,15,4,15
2021-2022,Apertura,7,Tijuana,17,9,3,5,30,19,11,30,8,5,1,2,19,5,14,16,9,4,2,3,11,14,-3,14
2021-2022,Apertura,8,Cruz Azul,17,7,3,7,15,28,-13,24,8,4,3,1,9,6,3,15,9,3,0,6,6,22,-16,9
2021-2022,Apertura,9,Pachuca,17,6,5,6,28,24,4,23,9,3,3,3,14,8,6,12,8,3,2,3,14,16,-2,11
2021-2022,Apertura,10,Pumas,17,5,6,6,19,16,3,21,9,5,1,3,13,6,7,16,8,0,5,3,6,10,-4,5
2021-2022,Apertura,11,Puebla,17,5,3,9,18,30,-12,18,9,3,2,4,12,14,-2,11,8,2,1,5,6,16,-10,7
2021-2022,Apertura,12,Toluca,17,5,3,9,13,27,-14,18,8,2,2,4,6,13,-7,8,9,3,1,5,7,14,-7,10
2021-2022,Apertura,13,Necaxa,17,5,3,9,16,34,-18,18,9,4,0,5,12,16,-4,12,8,1,3,4,4,18,-14,6
2021-2022,Apertura,14,Querétaro,17,4,4,9,19,23,-4,16,9,2,3,4,14,13,1,9,8,2,1,5,5,10,-5,7
2021-2022,Apertura,15,León,17,3,5,9,18,30,-12,14,8,1,3,4,8,13,-5,6,9,2,2,5,10,17,-7,8
2021-2022,Apertura,16,Atlético de San Luis,17,2,7,8,14,32,-18,13,8,2,4,2,10,10,0,10,9,0,3,6,4,22,-18,3
2021-2022,Apertura,17,Mazatlán FC,17,1,3,13,6,40,-34,6,8,1,2,5,5,14,-9,5,9,0,1,8,1,26,-25,1
2021-2022,Apertura,18,FC Juárez,17,1,2,14,11,41,-30,5,9,0,1,8,7,20,-13,1,8,1,1,6,4,21,-17,4
2020-2021,Apertura,1,Tigres,17,15,1,1,50,11,39,46,9,8,0,1,30,7,23,24,8,7,1,0,20,4,16,22
2020-2021,Apertura,2,Atlas,17,13,2,2,45,18,27,41,9,7,2,0,24,8,16,23,8,6,0,2,21,10,11,18
2020-2021,Apertura,3,Rayadas,17,13,2,2,41,19,22,41,8,6,1,1,23,11,12,19,9,7,1,1,18,8,10,22
2020-2021,Apertura,4,Guadalajara,17,12,2,3,42,17,25,38,8,6,0,2,18,7,11,18,9,6,2,1,24,10,14,20
2020-2021,Apertura,5,América,17,11,4,2,35,12,23,37,8,5,2,1,23,6,17,17,9,6,2,1,12,6,6,20
2020-2021,Apertura,6,Pumas,17,8,3,6,25,15,10,27,8,4,2,2,10,4,6,14,9,4,1,4,15,11,4,13
2020-2021,Apertura,7,Querétaro,17,7,5,5,24,20,4,26,9,3,3,3,10,12,-2,12,8,4,2,2,14,8,6,14
2020-2021,Apertura,8,Pachuca,17,7,3,7,24,25,-1,24,9,3,2,4,12,13,-1,11,8,4,1,3,12,12,0,13
2020-2021,Apertura,9,Santos Laguna,17,5,6,6,17,20,-3,21,9,2,4,3,7,10,-3,10,8,3,2,3,10,10,0,11
2020-2021,Apertura,10,Mazatlán FC,17,6,3,8,14,39,-25,21,8,4,2,2,10,11,-1,14,9,2,1,6,4,28,-24,7
2020-2021,Apertura,11,Atlético de San Luis,17,5,2,10,22,30,-8,17,9,5,1,3,15,12,3,16,8,0,1,7,7,18,-11,1
2020-2021,Apertura,12,Puebla,17,4,5,8,12,23,-11,17,9,3,3,3,6,9,-3,12,8,1,2,5,6,14,-8,5
2020-2021,Apertura,13,León,17,4,4,9,21,31,-10,16,8,2,1,5,9,17,-8,7,9,2,3,4,12,14,-2,9
2020-2021,Apertura,14,Cruz Azul,17,3,5,9,14,24,-10,14,9,2,2,5,9,12,-3,8,8,1,3,4,5,12,-7,6
2020-2021,Apertura,15,Toluca,17,4,1,12,16,29,-13,13,9,3,0,6,10,17,-7,9,8,1,1,6,6,12,-6,4
2020-2021,Apertura,16,Tijuana,17,3,3,11,16,31,-15,12,8,2,2,4,10,13,-3,8,9,1,1,7,6,18,-12,4
2020-2021,Apertura,17,FC Juárez,17,3,2,12,13,44,-31,11,8,2,0,6,4,21,-17,6,9,1,2,6,9,23,-14,5
2020-2021,Apertura,18,Necaxa,17,3,1,13,10,33,-23,10,8,2,0,6,7,14,-7,6,9,1,1,7,3,19,-16,4
2019-2020,Apertura,1,Rayadas,18,16,0,2,52,16,36,48,9,9,0,0,31,5,26,27,9,7,0,2,21,11,10,21
2019-2020,Apertura,2,Tigres,18,13,4,1,41,14,27,43,9,8,1,0,22,4,18,25,9,5,3,1,19,10,9,18
2019-2020,Apertura,3,Pachuca,18,11,3,4,42,24,18,36,9,6,1,2,23,14,9,19,9,5,2,2,19,10,9,17
2019-2020,Apertura,4,América,18,9,5,4,29,17,12,32,9,5,3,1,14,5,9,18,9,4,2,3,15,12,3,14
2019-2020,Apertura,5,Guadalajara,18,9,4,5,30,23,7,31,9,6,1,2,15,9,6,19,9,3,3,3,15,14,1,12
2019-2020,Apertura,6,Toluca,18,9,4,5,24,20,4,31,9,5,2,2,15,9,6,17,9,4,2,3,9,11,-2,14
2019-2020,Apertura,7,Tijuana,18,8,5,5,27,21,6,29,9,6,2,1,19,9,10,20,9,2,3,4,8,12,-4,9
2019-2020,Apertura,8,Atlas,18,7,7,4,35,20,15,28,9,3,3,3,14,13,1,12,9,4,4,1,21,7,14,16
2019-2020,Apertura,9,M. Morelia,18,8,4,6,30,28,2,28,9,5,3,1,17,10,7,18,9,3,1,5,13,18,-5,10
2019-2020,Apertura,10,Cruz Azul,18,6,6,6,28,25,3,24,9,4,3,2,18,12,6,15,9,2,3,4,10,13,-3,9
2019-2020,Apertura,11,León,18,6,5,7,23,21,2,23,9,4,3,2,15,11,4,15,9,2,2,5,8,10,-2,8
2019-2020,Apertura,12,Puebla,18,5,6,7,16,25,-9,21,9,2,3,4,7,12,-5,9,9,3,3,3,9,13,-4,12
2019-2020,Apertura,13,Querétaro,18,5,5,8,15,32,-17,20,9,2,2,5,5,18,-13,8,9,3,3,3,10,14,-4,12
2019-2020,Apertura,14,Pumas,18,4,7,7,18,16,2,19,9,4,2,3,13,7,6,14,9,0,5,4,5,9,-4,5
2019-2020,Apertura,15,Veracruz,18,4,5,9,17,29,-12,17,9,4,3,2,10,7,3,15,9,0,2,7,7,22,-15,2
2019-2020,Apertura,16,Santos Laguna,18,4,4,10,17,28,-11,16,9,1,4,4,8,12,-4,7,9,3,0,6,9,16,-7,9
2019-2020,Apertura,17,Atlético de San Luis,18,2,5,11,11,38,-27,11,9,2,2,5,7,20,-13,8,9,0,3,6,4,18,-14,3
2019-2020,Apertura,18,FC Juárez,18,1,4,13,8,37,-29,7,9,1,3,5,2,16,-14,6,9,0,1,8,6,21,-15,1
2019-2020,Apertura,19,Necaxa,18,1,3,14,6,35,-29,6,9,1,2,6,6,15,-9,5,9,0,1,8,0,20,-20,1
